name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-10575,NO,6539.7,3481.3,3058.3,0.879,-0.2,2.1e-01,1.0e+00,0.8713,1016,3497,3098,3849,3021,3154,3000
GENE-4456,NO,2102.7,1230.7,872,0.709,-0.5,2.1e-01,1.0e+00,0.8713,1017,1861,955,876,570,921,1125
GENE-16011,NO,357.3,160.7,196.7,1.221,0.3,2.1e-01,1.0e+00,0.8713,1018,179,162,141,208,234,148
GENE-12116,NO,891,789,102,0.129,-2.9,2.1e-01,1.0e+00,0.8713,1019,75,0,2292,0,61,245
GENE-17754,NO,360.7,201,159.7,0.793,-0.3,2.1e-01,1.0e+00,0.8713,1019,194,240,169,131,213,135
GENE-3153,NO,438.7,198.7,240,1.208,0.3,2.1e-01,1.0e+00,0.8713,1020,200,228,168,294,220,206
GENE-4983,NO,788.3,437.7,350.7,0.802,-0.3,2.1e-01,1.0e+00,0.8713,1021,396,390,527,444,348,260
GENE-11429,NO,681.7,384.7,297,0.772,-0.4,2.1e-01,1.0e+00,0.8713,1022,501,411,242,342,263,286
GENE-16850,NO,51.7,28.7,23,0.798,-0.3,2.1e-01,1.0e+00,0.8713,1023,31,22,33,26,23,20
GENE-14100,NO,90.7,49.3,41.3,0.832,-0.3,2.2e-01,1.0e+00,0.8714,1024,44,51,53,48,40,36
GENE-9597,NO,68,30.3,37.7,1.232,0.3,2.2e-01,1.0e+00,0.8726,1026,26,32,33,41,42,30
GENE-14885,NO,26.3,11.3,15,1.31,0.4,2.2e-01,1.0e+00,0.8726,1027,12,14,8,17,14,14
GENE-12178,NO,20.7,12,8.7,0.72,-0.5,2.2e-01,1.0e+00,0.8726,1028,12,11,13,12,9,5
GENE-19351,NO,54.3,31,23.3,0.748,-0.4,2.2e-01,1.0e+00,0.8726,1029,38,29,26,20,33,17
GENE-9922,NO,695,377,318,0.844,-0.2,2.2e-01,1.0e+00,0.8726,1030,383,438,310,280,351,323
GENE-5330,NO,353.3,164.7,188.7,1.146,0.2,2.2e-01,1.0e+00,0.8734,1032,174,162,158,195,171,200
GENE-19970,NO,964.7,523.7,441,0.842,-0.2,2.2e-01,1.0e+00,0.8734,1032,537,463,571,351,506,466
GENE-19139,NO,87,47.7,39.3,0.82,-0.3,2.2e-01,1.0e+00,0.8734,1033,42,51,50,31,43,44
GENE-13256,NO,1308,533.7,774.3,1.45,0.5,2.2e-01,1.0e+00,0.8734,1034,585,629,387,436,639,1248
GENE-5029,NO,178,115.3,62.7,0.541,-0.9,2.2e-01,1.0e+00,0.874,1036,134,152,60,119,52,17
GENE-10032,NO,205,115.7,89.3,0.769,-0.4,2.2e-01,1.0e+00,0.874,1037,144,110,93,97,60,111
GENE-15271,NO,8629.3,4929,3700.3,0.751,-0.4,2.2e-01,1.0e+00,0.8749,1039,3380,7337,4070,4446,3402,3253
GENE-390,NO,23.3,14.3,9,0.626,-0.7,2.2e-01,1.0e+00,0.8754,1040,14,19,10,11,13,3
GENE-4201,NO,1268,671.3,596.7,0.889,-0.2,2.2e-01,1.0e+00,0.8754,1041,674,710,630,596,594,600
GENE-3349,NO,3123.7,1351.3,1772.3,1.312,0.4,2.2e-01,1.0e+00,0.8754,1042,1910,824,1320,1873,1787,1657
GENE-18013,NO,99.7,54.3,45.3,0.829,-0.3,2.2e-01,1.0e+00,0.8754,1043,47,59,57,52,38,46
GENE-17642,NO,744,407.7,336.3,0.826,-0.3,2.2e-01,1.0e+00,0.8754,1043,438,402,383,398,366,245
GENE-18218,NO,36,20.7,15.3,0.738,-0.4,2.2e-01,1.0e+00,0.8754,1044,14,22,26,14,12,20
GENE-16553,NO,19.3,11.3,8,0.704,-0.5,2.2e-01,1.0e+00,0.8754,1045,12,12,10,10,10,4
GENE-7023,NO,1359,728.3,630.7,0.866,-0.2,2.2e-01,1.0e+00,0.8754,1046,753,809,623,577,666,649
GENE-11808,NO,22.7,13.3,9.3,0.698,-0.5,2.2e-01,1.0e+00,0.8756,1047,17,10,13,6,8,14
GENE-17733,NO,41.3,18,23.3,1.285,0.4,2.2e-01,1.0e+00,0.8756,1048,15,15,24,25,20,25
GENE-15951,NO,1298.7,602.7,696,1.155,0.2,2.2e-01,1.0e+00,0.8756,1049,624,615,569,583,748,757
GENE-3419,NO,66,37.7,28.3,0.748,-0.4,2.2e-01,1.0e+00,0.8756,1050,49,28,36,31,35,19
GENE-5265,NO,103.3,45.7,57.7,1.253,0.3,2.2e-01,1.0e+00,0.8756,1051,54,36,47,44,66,63
GENE-17869,NO,2359.3,1317,1042.3,0.791,-0.3,2.2e-01,1.0e+00,0.8756,1052,1558,1240,1153,812,883,1432
GENE-76,NO,91.7,41,50.7,1.227,0.3,2.2e-01,1.0e+00,0.8765,1054,47,32,44,54,43,55
GENE-12990,NO,33,19.3,13.7,0.704,-0.5,2.2e-01,1.0e+00,0.8765,1054,21,15,22,7,19,15
GENE-488,NO,1992.3,1100,892.3,0.811,-0.3,2.2e-01,1.0e+00,0.8765,1055,1361,1128,811,1041,875,761
GENE-15766,NO,19247,10337,8910,0.862,-0.2,2.2e-01,1.0e+00,0.8767,1056,9699,9139,12173,8126,9626,8978
GENE-18351,NO,1189,633.7,555.3,0.876,-0.2,2.2e-01,1.0e+00,0.8767,1057,673,614,614,547,620,499
GENE-3978,NO,787.3,347.3,440,1.267,0.3,2.2e-01,1.0e+00,0.8767,1058,372,278,392,580,426,314
GENE-1794,NO,1028.7,734,294.7,0.402,-1.3,2.2e-01,1.0e+00,0.8767,1059,1027,1138,37,173,400,311
GENE-8430,NO,32,18.3,13.7,0.742,-0.4,2.2e-01,1.0e+00,0.8767,1060,20,13,22,10,18,13
GENE-12446,NO,567.7,249.7,318,1.273,0.3,2.2e-01,1.0e+00,0.8767,1061,308,268,173,298,260,396
GENE-5344,NO,2542,1391.7,1150.3,0.826,-0.3,2.2e-01,1.0e+00,0.8778,1063,1266,1763,1146,974,1234,1243
GENE-18434,NO,228,95.7,132.3,1.381,0.5,2.2e-01,1.0e+00,0.8778,1064,88,79,120,78,195,124
GENE-5249,NO,2660.3,1218,1442.3,1.185,0.2,2.2e-01,1.0e+00,0.8806,1068,1204,992,1458,1629,1331,1367
GENE-8451,NO,2797.3,1308.3,1489,1.138,0.2,2.2e-01,1.0e+00,0.8806,1069,1286,1408,1231,1362,1460,1645
GENE-13887,NO,1680,749.3,930.7,1.242,0.3,2.2e-01,1.0e+00,0.8806,1070,740,541,967,894,1077,821
GENE-14656,NO,1374.3,625.7,748.7,1.196,0.3,2.3e-01,1.0e+00,0.881,1071,742,664,471,762,693,791
GENE-6311,NO,572.3,269,303.3,1.13,0.2,2.3e-01,1.0e+00,0.8831,1075,272,282,253,288,307,315
GENE-726,NO,29.3,13,16.3,1.245,0.3,2.3e-01,1.0e+00,0.8831,1076,13,12,14,19,14,16
GENE-11063,NO,636.7,298,338.7,1.138,0.2,2.3e-01,1.0e+00,0.8831,1077,310,302,282,376,321,319
GENE-11561,NO,516,285.7,230.3,0.806,-0.3,2.3e-01,1.0e+00,0.8835,1078,302,313,242,294,231,166
GENE-3677,NO,25.3,14.7,10.7,0.724,-0.5,2.3e-01,1.0e+00,0.8835,1079,16,13,15,15,11,6
GENE-15785,NO,23.7,13.3,10.3,0.772,-0.4,2.3e-01,1.0e+00,0.8836,1080,15,10,15,12,10,9
GENE-3471,YES,315.7,92.3,223.3,2.41,1.3,2.3e-01,1.0e+00,0.8836,1081,39,29,209,215,43,412
GENE-1162,NO,663.3,295.7,367.7,1.245,0.3,2.3e-01,1.0e+00,0.8836,1081,300,226,361,296,460,347
GENE-8284,NO,186,85.3,100.7,1.176,0.2,2.3e-01,1.0e+00,0.8836,1082,91,78,87,88,97,117
GENE-4752,NO,77.7,43,34.7,0.801,-0.3,2.3e-01,1.0e+00,0.8836,1083,42,45,42,24,40,40
GENE-19975,NO,49.7,21.7,28,1.281,0.4,2.3e-01,1.0e+00,0.8836,1084,23,27,15,30,24,30
GENE-2588,NO,14635.7,7796.3,6839.3,0.877,-0.2,2.3e-01,1.0e+00,0.8836,1085,7594,7327,8468,7634,6140,6744
GENE-1935,NO,579.3,309.7,269.7,0.871,-0.2,2.3e-01,1.0e+00,0.8836,1086,264,335,330,276,264,269
GENE-9702,NO,1656.7,768.3,888.3,1.156,0.2,2.3e-01,1.0e+00,0.8836,1087,798,821,686,1001,902,762
GENE-1564,NO,3293.3,1762.7,1530.7,0.868,-0.2,2.3e-01,1.0e+00,0.8836,1088,1738,1603,1947,1400,1440,1752
GENE-1669,NO,1449.3,820,629.3,0.768,-0.4,2.3e-01,1.0e+00,0.8836,1089,1008,485,967,596,734,558
GENE-16654,NO,2168.7,1748.3,420.3,0.24,-2.1,2.3e-01,1.0e+00,0.8836,1089,2740,7,2498,255,77,929
GENE-13187,NO,103.3,56.3,47,0.829,-0.3,2.3e-01,1.0e+00,0.8836,1090,70,52,47,49,46,46
GENE-17644,NO,116.7,53.7,63,1.165,0.2,2.3e-01,1.0e+00,0.8836,1091,52,49,60,64,65,60
GENE-7642,NO,26,11,15,1.35,0.4,2.3e-01,1.0e+00,0.8836,1092,10,11,12,21,10,14
GENE-18720,NO,180.7,83,97.7,1.173,0.2,2.3e-01,1.0e+00,0.8836,1093,85,90,74,111,86,96
GENE-11568,NO,165.3,89,76.3,0.855,-0.2,2.3e-01,1.0e+00,0.8836,1094,96,80,91,69,74,86
GENE-10799,NO,110.7,45,65.7,1.446,0.5,2.3e-01,1.0e+00,0.8836,1095,48,67,20,59,78,60
GENE-16295,NO,608,532,76,0.143,-2.8,2.3e-01,1.0e+00,0.8836,1096,0,1595,1,163,41,24
GENE-5347,NO,521,232,289,1.245,0.3,2.3e-01,1.0e+00,0.8836,1097,272,189,235,260,227,380
GENE-8737,NO,21.3,12.3,9,0.727,-0.5,2.3e-01,1.0e+00,0.8836,1097,10,14,13,6,8,13
GENE-13060,NO,119.3,52.3,67,1.27,0.3,2.3e-01,1.0e+00,0.8836,1098,35,57,65,65,59,77
GENE-10307,NO,1015,475.3,539.7,1.135,0.2,2.3e-01,1.0e+00,0.8836,1099,497,505,424,508,563,548
GENE-6316,NO,637,341.3,295.7,0.866,-0.2,2.3e-01,1.0e+00,0.8836,1100,334,315,375,336,291,260
GENE-9543,NO,688.3,389.7,298.7,0.767,-0.4,2.3e-01,1.0e+00,0.8846,1102,348,488,333,320,388,188
GENE-16767,NO,42,18.7,23.3,1.239,0.3,2.3e-01,1.0e+00,0.8846,1103,17,23,16,22,22,26
GENE-13907,NO,745.7,341.7,404,1.183,0.2,2.3e-01,1.0e+00,0.8849,1104,311,392,322,427,324,461
GENE-16888,NO,326,173.7,152.3,0.877,-0.2,2.3e-01,1.0e+00,0.8864,1107,190,159,172,158,147,152
GENE-489,NO,332,182.3,149.7,0.82,-0.3,2.3e-01,1.0e+00,0.8879,1110,215,130,202,160,149,140
GENE-6859,NO,38.3,21,17.3,0.82,-0.3,2.3e-01,1.0e+00,0.8883,1111,19,23,21,15,18,19
GENE-428,NO,71.3,31.3,40,1.266,0.3,2.3e-01,1.0e+00,0.8886,1113,40,30,24,47,41,32
GENE-4118,NO,591,313.3,277.7,0.887,-0.2,2.3e-01,1.0e+00,0.8886,1113,324,317,299,297,275,261
GENE-10753,NO,59,34,25,0.731,-0.5,2.3e-01,1.0e+00,0.8886,1114,23,37,42,16,25,34
GENE-6280,NO,546,250.7,295.3,1.178,0.2,2.3e-01,1.0e+00,0.8886,1115,269,238,245,295,237,354
GENE-5769,NO,4471,1850.3,2620.7,1.416,0.5,2.4e-01,1.0e+00,0.8886,1116,883,2432,2236,2228,2225,3409
GENE-4518,NO,104.3,46.3,58,1.242,0.3,2.4e-01,1.0e+00,0.8886,1117,49,36,54,68,61,45
GENE-559,NO,42,18.7,23.3,1.24,0.3,2.4e-01,1.0e+00,0.8886,1118,23,15,18,25,24,21
GENE-12502,NO,74,33,41,1.232,0.3,2.4e-01,1.0e+00,0.8886,1119,35,32,32,30,49,44
GENE-3166,NO,101.3,54.3,47,0.859,-0.2,2.4e-01,1.0e+00,0.8886,1120,54,58,51,43,50,48
GENE-4314,NO,312.3,139.3,173,1.24,0.3,2.4e-01,1.0e+00,0.8886,1121,130,172,116,200,191,128
GENE-15912,NO,3618.7,1987,1631.7,0.821,-0.3,2.4e-01,1.0e+00,0.8886,1121,1836,1815,2310,1215,2047,1633
GENE-17241,NO,37,16.3,20.7,1.254,0.3,2.4e-01,1.0e+00,0.8886,1122,16,17,16,16,26,20
GENE-5104,NO,137.7,73.7,64,0.863,-0.2,2.4e-01,1.0e+00,0.8886,1123,75,67,79,59,64,69
GENE-3513,NO,1553,670,883,1.318,0.4,2.4e-01,1.0e+00,0.8886,1124,657,838,515,751,1274,624
GENE-15847,NO,214.7,132.3,82.3,0.622,-0.7,2.4e-01,1.0e+00,0.8886,1125,206,125,66,60,140,47
GENE-17519,NO,1125.7,597.7,528,0.883,-0.2,2.4e-01,1.0e+00,0.8886,1126,538,643,612,516,563,505
GENE-10934,NO,43.7,19.7,24,1.21,0.3,2.4e-01,1.0e+00,0.8886,1127,19,22,18,25,26,21
GENE-11158,NO,128,68.7,59.3,0.858,-0.2,2.4e-01,1.0e+00,0.8886,1128,70,69,67,62,51,65
GENE-3212,NO,210,113.7,96.3,0.844,-0.2,2.4e-01,1.0e+00,0.8886,1129,137,106,98,106,96,87
GENE-14996,NO,33.3,18.7,14.7,0.782,-0.4,2.4e-01,1.0e+00,0.8886,1129,18,16,22,13,12,19
GENE-13827,NO,23.3,13.3,10,0.747,-0.4,2.4e-01,1.0e+00,0.8886,1130,10,15,15,7,10,13
GENE-6579,NO,464.3,209.7,254.7,1.215,0.3,2.4e-01,1.0e+00,0.8886,1131,169,232,228,225,322,217
GENE-4278,NO,139,63.3,75.7,1.186,0.2,2.4e-01,1.0e+00,0.8886,1132,63,67,60,64,72,91
GENE-722,NO,2548.3,1399.7,1148.7,0.821,-0.3,2.4e-01,1.0e+00,0.8886,1133,985,1492,1722,1121,1260,1065
GENE-13011,NO,186.7,102,84.7,0.83,-0.3,2.4e-01,1.0e+00,0.8886,1134,85,109,112,82,102,70
GENE-8,NO,343.7,188,155.7,0.828,-0.3,2.4e-01,1.0e+00,0.8886,1135,174,223,167,187,157,123
GENE-16974,NO,210.3,115.7,94.7,0.818,-0.3,2.4e-01,1.0e+00,0.8886,1136,107,132,108,84,123,77
GENE-15312,NO,3418,1604.7,1813.3,1.13,0.2,2.4e-01,1.0e+00,0.8886,1137,1712,1604,1498,1681,1768,1991
GENE-16625,NO,995,442.7,552.3,1.247,0.3,2.4e-01,1.0e+00,0.8886,1137,435,576,317,468,656,533
GENE-3252,NO,185.3,106,79.3,0.749,-0.4,2.4e-01,1.0e+00,0.8886,1138,138,113,67,82,100,56
GENE-6418,NO,626,284,342,1.204,0.3,2.4e-01,1.0e+00,0.8886,1139,209,326,317,308,333,385
GENE-12090,NO,34.3,19.3,15,0.772,-0.4,2.4e-01,1.0e+00,0.8886,1140,17,16,25,13,13,19
GENE-5004,NO,415,187.7,227.3,1.21,0.3,2.4e-01,1.0e+00,0.8886,1141,162,211,190,180,215,287
GENE-8651,NO,7804,2627.3,5176.7,1.97,1,2.4e-01,1.0e+00,0.8886,1142,2748,1208,3926,1323,3298,10909
GENE-15585,NO,113,61.7,51.3,0.827,-0.3,2.4e-01,1.0e+00,0.8898,1144,69,47,69,52,46,56
GENE-11802,NO,27.7,17,10.7,0.625,-0.7,2.4e-01,1.0e+00,0.8898,1145,16,23,12,7,20,5
GENE-16047,NO,47.7,26.7,21,0.783,-0.4,2.4e-01,1.0e+00,0.8898,1146,34,25,21,17,26,20
GENE-15376,NO,378,143.3,234.7,1.635,0.7,2.4e-01,1.0e+00,0.8898,1147,189,113,128,160,450,94
GENE-5862,NO,19.7,8.3,11.3,1.345,0.4,2.4e-01,1.0e+00,0.8898,1148,11,9,5,11,12,11
GENE-8629,NO,254,139.7,114.3,0.817,-0.3,2.4e-01,1.0e+00,0.8898,1149,122,164,133,111,144,88
GENE-9630,NO,2307.7,950,1357.7,1.429,0.5,2.4e-01,1.0e+00,0.8898,1150,1027,1023,800,706,1102,2265
GENE-10761,NO,151.3,66.3,85,1.272,0.3,2.4e-01,1.0e+00,0.8898,1150,56,62,81,102,96,57
GENE-13960,NO,2175,1024,1151,1.124,0.2,2.4e-01,1.0e+00,0.8898,1151,972,1076,1024,1094,1109,1250
GENE-5084,NO,45,19.7,25.3,1.277,0.4,2.4e-01,1.0e+00,0.8898,1152,23,22,14,28,28,20
GENE-1173,NO,2042.3,963.7,1078.7,1.119,0.2,2.4e-01,1.0e+00,0.8898,1153,1031,932,928,1121,1039,1076
GENE-16697,NO,76.3,44,32.3,0.73,-0.5,2.4e-01,1.0e+00,0.8898,1154,36,60,36,42,19,36
GENE-5182,NO,78,34,44,1.284,0.4,2.4e-01,1.0e+00,0.8906,1156,24,30,48,40,44,48
GENE-9641,NO,1351,545.7,805.3,1.476,0.6,2.4e-01,1.0e+00,0.8906,1157,356,710,571,1258,772,386
GENE-7309,NO,198.7,88,110.7,1.257,0.3,2.4e-01,1.0e+00,0.8906,1158,92,93,79,78,103,151
GENE-3569,NO,735.3,395,340.3,0.862,-0.2,2.4e-01,1.0e+00,0.8916,1160,344,457,384,299,350,372
GENE-540,NO,95.3,42.3,53,1.242,0.3,2.4e-01,1.0e+00,0.8916,1161,39,47,41,48,41,70
GENE-17267,NO,131.7,73.3,58.3,0.79,-0.3,2.4e-01,1.0e+00,0.8916,1162,90,63,67,79,47,49
GENE-11085,NO,39.7,17.3,22.3,1.277,0.4,2.4e-01,1.0e+00,0.8916,1163,22,17,13,18,26,23
GENE-13211,NO,143.3,60.7,82.7,1.364,0.4,2.4e-01,1.0e+00,0.8916,1164,52,85,45,81,114,53
GENE-651,NO,21426.7,9993.7,11433,1.144,0.2,2.4e-01,1.0e+00,0.8916,1164,11212,9395,9374,12804,10066,11429
GENE-2740,NO,206.7,172,34.7,0.201,-2.3,2.4e-01,1.0e+00,0.8916,1165,495,1,20,1,94,9
GENE-12357,NO,709,324.7,384.3,1.185,0.2,2.4e-01,1.0e+00,0.8916,1166,331,376,267,458,340,355
GENE-3642,NO,328,142.3,185.7,1.303,0.4,2.5e-01,1.0e+00,0.8934,1170,190,119,118,258,154,145
GENE-18378,NO,144.3,63.7,80.7,1.263,0.3,2.5e-01,1.0e+00,0.8953,1173,48,88,55,75,72,95
GENE-7616,NO,52.3,29.7,22.7,0.76,-0.4,2.5e-01,1.0e+00,0.8953,1174,34,22,33,15,30,23
GENE-375,NO,192,105,87,0.825,-0.3,2.5e-01,1.0e+00,0.8957,1175,105,117,93,112,77,72
GENE-17143,NO,47,25.7,21.3,0.826,-0.3,2.5e-01,1.0e+00,0.8971,1178,24,24,29,25,19,20
GENE-2109,NO,27,11.3,15.7,1.368,0.5,2.5e-01,1.0e+00,0.8971,1179,15,9,10,16,21,10
GENE-5062,NO,31,17.3,13.7,0.784,-0.4,2.5e-01,1.0e+00,0.8975,1180,15,20,17,10,17,14
GENE-5514,NO,657,360.7,296.3,0.823,-0.3,2.5e-01,1.0e+00,0.8975,1181,274,400,408,346,309,234
GENE-5181,NO,768.7,411.7,357,0.868,-0.2,2.5e-01,1.0e+00,0.8975,1182,337,437,461,360,341,370
GENE-2938,NO,285.7,122.3,163.3,1.334,0.4,2.5e-01,1.0e+00,0.8975,1183,135,131,101,252,126,112
GENE-5318,NO,6499,3504.3,2994.7,0.855,-0.2,2.5e-01,1.0e+00,0.8975,1184,2823,3935,3755,2788,3441,2755
GENE-10862,NO,126,69.3,56.7,0.812,-0.3,2.5e-01,1.0e+00,0.8976,1185,80,53,75,63,44,63
GENE-14936,NO,50.3,27.7,22.7,0.814,-0.3,2.5e-01,1.0e+00,0.8976,1186,26,23,34,21,21,26
GENE-5293,NO,21,9,12,1.319,0.4,2.5e-01,1.0e+00,0.8981,1187,6,10,11,10,14,12
GENE-16520,NO,149,91.3,57.7,0.629,-0.7,2.5e-01,1.0e+00,0.8981,1188,39,153,82,57,84,32
GENE-3826,NO,141,77,64,0.829,-0.3,2.5e-01,1.0e+00,0.8988,1190,75,92,64,55,77,60
GENE-919,NO,24.3,14.7,9.7,0.658,-0.6,2.5e-01,1.0e+00,0.8988,1191,25,7,12,12,8,9
GENE-10785,NO,237.7,128.3,109.3,0.851,-0.2,2.5e-01,1.0e+00,0.8988,1192,120,110,155,100,117,111
GENE-5556,NO,1531.3,813.3,718,0.883,-0.2,2.5e-01,1.0e+00,0.8988,1193,834,769,837,663,816,675
GENE-910,NO,36,23,13,0.564,-0.8,2.5e-01,1.0e+00,0.8988,1194,39,9,21,4,14,21
GENE-17394,NO,387.7,181.7,206,1.131,0.2,2.5e-01,1.0e+00,0.899,1195,182,183,180,209,223,186
GENE-16175,NO,20988.7,9694.3,11294.3,1.165,0.2,2.5e-01,1.0e+00,0.8995,1196,11502,8859,8722,10789,13096,9998
GENE-10990,NO,114,49.3,64.7,1.301,0.4,2.5e-01,1.0e+00,0.8995,1197,47,36,65,85,47,62
GENE-6256,NO,81.3,35.3,46,1.292,0.4,2.5e-01,1.0e+00,0.8995,1198,44,22,40,50,51,37
GENE-5831,NO,37.7,15.7,22,1.391,0.5,2.5e-01,1.0e+00,0.8995,1199,15,12,20,30,24,12
GENE-10516,NO,66.7,37.3,29.3,0.781,-0.4,2.5e-01,1.0e+00,0.8995,1200,30,45,37,40,25,23
GENE-9936,NO,20.3,11.7,8.7,0.74,-0.4,2.5e-01,1.0e+00,0.9009,1203,11,9,15,7,7,12
GENE-13740,NO,517,280,237,0.848,-0.2,2.5e-01,1.0e+00,0.9016,1204,292,269,279,295,189,227
GENE-6499,NO,128.7,71.3,57.3,0.798,-0.3,2.5e-01,1.0e+00,0.9016,1205,94,64,56,71,50,51
GENE-8289,NO,37.7,22,15.7,0.709,-0.5,2.5e-01,1.0e+00,0.9029,1208,30,15,21,11,12,24
GENE-705,NO,22.7,12.7,10,0.786,-0.3,2.5e-01,1.0e+00,0.9031,1209,12,11,15,10,8,12
GENE-8400,NO,48.7,26.3,22.3,0.843,-0.2,2.5e-01,1.0e+00,0.9031,1210,27,23,29,23,22,22
GENE-12992,NO,60,33.7,26.3,0.777,-0.4,2.5e-01,1.0e+00,0.9031,1211,27,37,37,32,17,30
GENE-14238,NO,1163.7,528,635.7,1.204,0.3,2.6e-01,1.0e+00,0.9053,1215,434,453,697,705,612,590
GENE-8958,NO,154.7,83.7,71,0.846,-0.2,2.6e-01,1.0e+00,0.9069,1218,70,81,100,79,66,68
GENE-17637,NO,139.7,88.7,51,0.574,-0.8,2.6e-01,1.0e+00,0.9077,1220,105,86,75,74,71,8
GENE-14946,NO,1239.3,658,581.3,0.884,-0.2,2.6e-01,1.0e+00,0.9077,1221,714,607,653,552,545,647
GENE-18423,NO,1488.7,703.7,785,1.116,0.2,2.6e-01,1.0e+00,0.9078,1222,721,683,707,824,805,726
GENE-19,NO,263.3,169,94.3,0.558,-0.8,2.6e-01,1.0e+00,0.9078,1223,215,109,183,17,101,165
GENE-15231,NO,609.7,286.3,323.3,1.131,0.2,2.6e-01,1.0e+00,0.9078,1224,316,282,261,300,337,333
GENE-3399,NO,2626.3,1385,1241.3,0.896,-0.2,2.6e-01,1.0e+00,0.9078,1225,1338,1401,1416,1149,1253,1322
GENE-14041,NO,36.3,20.7,15.7,0.754,-0.4,2.6e-01,1.0e+00,0.9078,1226,18,20,24,20,9,18
GENE-16268,NO,24.7,10.7,14,1.3,0.4,2.6e-01,1.0e+00,0.9078,1226,9,8,15,15,14,13
GENE-8287,NO,90.3,50.7,39.7,0.778,-0.4,2.6e-01,1.0e+00,0.9078,1227,66,33,53,40,47,32
GENE-16927,NO,1905,894.3,1010.7,1.13,0.2,2.6e-01,1.0e+00,0.9078,1228,884,937,862,1124,1020,888
GENE-5303,NO,1197.3,540.3,657,1.216,0.3,2.6e-01,1.0e+00,0.9078,1229,641,546,434,614,522,835
GENE-2054,NO,94,51.7,42.3,0.814,-0.3,2.6e-01,1.0e+00,0.9078,1230,60,43,52,43,52,32
GENE-14907,NO,68,37.3,30.7,0.816,-0.3,2.6e-01,1.0e+00,0.9078,1231,33,37,42,32,23,37
GENE-9718,NO,42,24,18,0.746,-0.4,2.6e-01,1.0e+00,0.9078,1232,15,23,34,14,21,19
GENE-4259,NO,2510.7,1036.3,1474.3,1.423,0.5,2.6e-01,1.0e+00,0.9078,1233,1775,519,815,1545,1414,1464
GENE-18564,NO,28,10.7,17.3,1.607,0.7,2.6e-01,1.0e+00,0.9078,1234,6,6,20,17,10,25
GENE-3516,NO,1261.3,594.3,667,1.122,0.2,2.6e-01,1.0e+00,0.9078,1235,591,573,619,732,612,657
GENE-11509,NO,2082.7,1114.7,968,0.868,-0.2,2.6e-01,1.0e+00,0.9078,1236,960,1295,1089,932,888,1084
GENE-7559,NO,461,177.3,283.7,1.599,0.7,2.6e-01,1.0e+00,0.9078,1236,268,169,95,126,495,230
GENE-5888,NO,101.7,45.3,56.3,1.233,0.3,2.6e-01,1.0e+00,0.9081,1238,38,40,58,52,48,69
GENE-17764,NO,2962,1205,1757,1.458,0.5,2.6e-01,1.0e+00,0.9081,1239,674,2137,804,1840,2074,1357
GENE-2856,NO,228.7,103.3,125.3,1.211,0.3,2.6e-01,1.0e+00,0.9081,1240,82,99,129,139,135,102
GENE-17463,NO,731.7,390.3,341.3,0.875,-0.2,2.6e-01,1.0e+00,0.9081,1241,442,395,334,331,325,368
GENE-2610,NO,122.7,56,66.7,1.181,0.2,2.6e-01,1.0e+00,0.9081,1241,65,57,46,70,71,59
GENE-6717,NO,3673.3,1644,2029.3,1.234,0.3,2.6e-01,1.0e+00,0.9081,1242,1423,1932,1577,2218,2501,1369
GENE-4097,NO,496.3,277.7,218.7,0.787,-0.3,2.6e-01,1.0e+00,0.9081,1243,326,188,319,215,278,163
GENE-10341,NO,1989.3,1072.7,916.7,0.855,-0.2,2.6e-01,1.0e+00,0.9081,1244,1182,1017,1019,991,1051,708
GENE-15542,NO,169.3,106,63.3,0.598,-0.7,2.6e-01,1.0e+00,0.9081,1245,83,90,145,19,123,48
GENE-18485,NO,191.3,102.7,88.7,0.86,-0.2,2.6e-01,1.0e+00,0.9081,1246,102,118,88,94,93,79
GENE-19469,NO,209,86.7,122.3,1.409,0.5,2.6e-01,1.0e+00,0.9081,1247,83,124,53,160,68,139
GENE-13744,NO,3771,2071.7,1699.3,0.82,-0.3,2.6e-01,1.0e+00,0.9081,1248,1898,1541,2776,1537,1649,1912
GENE-14125,NO,94.7,51.7,43,0.827,-0.3,2.6e-01,1.0e+00,0.9081,1249,57,45,53,33,44,52
GENE-4874,NO,244.3,131.3,113,0.859,-0.2,2.6e-01,1.0e+00,0.9081,1250,135,150,109,126,108,105
GENE-7614,NO,1362.7,819.7,543,0.663,-0.6,2.6e-01,1.0e+00,0.9081,1251,1074,671,714,199,861,569
GENE-9957,NO,405,185.7,219.3,1.18,0.2,2.6e-01,1.0e+00,0.9081,1251,145,183,229,218,207,233
GENE-16829,NO,236.3,102,134.3,1.318,0.4,2.6e-01,1.0e+00,0.9081,1252,86,83,137,177,142,84
GENE-16288,NO,825,439.7,385.3,0.876,-0.2,2.6e-01,1.0e+00,0.9081,1253,459,420,440,377,447,332
GENE-10473,NO,640.3,347.3,293,0.844,-0.2,2.6e-01,1.0e+00,0.9088,1255,325,398,319,365,238,276
GENE-3482,NO,820,383.3,436.7,1.139,0.2,2.6e-01,1.0e+00,0.9088,1256,341,425,384,403,418,489
GENE-14206,NO,374,165.7,208.3,1.256,0.3,2.6e-01,1.0e+00,0.9088,1257,168,176,153,179,298,148
